transcript_id	gene_id
YJR100C_mRNA	AIM25
YKL037W_mRNA	AIM26
YKR074W_mRNA	AIM29
YBR108W_mRNA	AIM3
YML050W_mRNA	AIM32
YML087C_mRNA	AIM33
YMR003W_mRNA	AIM34
YMR157C_mRNA	AIM36
YOL053W_mRNA	AIM39
YBR194W_mRNA	AIM4
YOR215C_mRNA	AIM41
YPL158C_mRNA	AIM44
YPR004C_mRNA	AIM45
YHR199C_mRNA	AIM46
YDL237W_mRNA	AIM6
YDR063W_mRNA	AIM7
YER080W_mRNA	AIM9
YMR092C_mRNA	AIP1
YIL079C_mRNA	AIR1
YDL175C_mRNA	AIR2
YBR059C_mRNA	AKL1
YDR264C_mRNA	AKR1
YOR034C_mRNA	AKR2
YOR335C_mRNA	ALA1
YJL122W_mRNA	ALB1
YMR170C_mRNA	ALD2
YMR169C_mRNA	ALD3
YOR374W_mRNA	ALD4
YER073W_mRNA	ALD5
YPL061W_mRNA	ALD6
YOR175C_mRNA	ALE1
YNL148C_mRNA	ALF1
YBR110W_mRNA	ALG1
YNL048W_mRNA	ALG11
YNR030W_mRNA	ALG12
YGL047W_mRNA	ALG13
YBR070C_mRNA	ALG14
YGL065C_mRNA	ALG2
YBL082C_mRNA	ALG3
YPL227C_mRNA	ALG5
YOR002W_mRNA	ALG6
YBR243C_mRNA	ALG7
YOR067C_mRNA	ALG8
YNL219C_mRNA	ALG9
YGL021W_mRNA	ALK1
YBL009W_mRNA	ALK2
YML086C_mRNA	ALO1
YNL270C_mRNA	ALP1
YOL130W_mRNA	ALR1
YFL050C_mRNA	ALR2
YLR089C_mRNA	ALT1
YDR111C_mRNA	ALT2
YKR021W_mRNA	ALY1
YJL084C_mRNA	ALY2
YGR225W_mRNA	AMA1
YGR225W_pre-mRNA	AMA1
YML035C_mRNA	AMD1
YDR242W_mRNA	AMD2
YBR211C_mRNA	AME1
YOR378W_mRNA	AMF1
YBR158W_mRNA	AMN1
YGL156W_mRNA	AMS1
YJR047C_mRNA	ANB1
YEL036C_mRNA	ANP1
YKL047W_mRNA	ANR2
YHR126C_mRNA	ANS1
YPR128C_mRNA	ANT1
YPR180W_mRNA	AOS1
YCL050C_mRNA	APA1
YDR530C_mRNA	APA2
YNL172W_mRNA	APC1
YDL008W_mRNA	APC11
YLR127C_mRNA	APC2
YDR118W_mRNA	APC4
YOR249C_mRNA	APC5
YLR102C_mRNA	APC9
YBR151W_mRNA	APD1
YKL103C_mRNA	APE1
YKL157W_mRNA	APE2
YKL157W_pre-mRNA	APE2
YBR286W_mRNA	APE3
YHR113W_mRNA	APE4
YDR525W_mRNA	API2
YNL077W_mRNA	APJ1
YJR005W_mRNA	APL1
YKL135C_mRNA	APL2
YBL037W_mRNA	APL3
YPR029C_mRNA	APL4
YPL195W_mRNA	APL5
YGR261C_mRNA	APL6
YPL259C_mRNA	APM1
YHL019C_mRNA	APM2
YBR288C_mRNA	APM3
YOL062C_mRNA	APM4
YKL114C_mRNA	APN1
YBL019W_mRNA	APN2
YNL094W_mRNA	APP1
YIL040W_mRNA	APQ12
YJL075C_mRNA	APQ13
YLR170C_mRNA	APS1
YJR058C_mRNA	APS2
YJL024C_mRNA	APS3
YJL024C_pre-mRNA	APS3
YML022W_mRNA	APT1
YDR441C_mRNA	APT2
YNL065W_mRNA	AQR1
YPR192W_mRNA	AQY1
YLL052C_mRNA	AQY2
YBR149W_mRNA	ARA1
YMR041C_mRNA	ARA2
YER036C_mRNA	ARB1
YGL105W_mRNA	ARC1
YIL062C_mRNA	ARC15
YLR370C_mRNA	ARC18
YKL013C_mRNA	ARC19
YNR035C_mRNA	ARC35
YBR234C_mRNA	ARC40
YHR013C_mRNA	ARD1
YCR048W_mRNA	ARE1
YNR019W_mRNA	ARE2
YDL192W_mRNA	ARF1
YDL137W_mRNA	ARF2
YDL137W_pre-mRNA	ARF2
YOR094W_mRNA	ARF3
YOL058W_mRNA	ARG1
YJL071W_mRNA	ARG2
YJL088W_mRNA	ARG3
YHR018C_mRNA	ARG4
YER069W_mRNA	ARG5%2C6
YMR062C_mRNA	ARG7
YOL140W_mRNA	ARG8
YMR042W_mRNA	ARG80
YML099C_mRNA	ARG81
YDR173C_mRNA	ARG82
YDR376W_mRNA	ARH1
YGL157W_mRNA	ARI1
YNL020C_mRNA	ARK1
YBR164C_mRNA	ARL1
YPL051W_mRNA	ARL3
YHL040C_mRNA	ARN1
YHL047C_mRNA	ARN2
YDR127W_mRNA	ARO1
YDR380W_mRNA	ARO10
YGL148W_mRNA	ARO2
YDR035W_mRNA	ARO3
YBR249C_mRNA	ARO4
YPR060C_mRNA	ARO7
YGL202W_mRNA	ARO8
YDR421W_mRNA	ARO80
YHR137W_mRNA	ARO9
YHR129C_mRNA	ARP1
YDR106W_mRNA	ARP10
YDL029W_mRNA	ARP2
YDL029W_pre-mRNA	ARP2
YJR065C_mRNA	ARP3
YJL081C_mRNA	ARP4
YNL059C_mRNA	ARP5
YLR085C_mRNA	ARP6
YPR034W_mRNA	ARP7
YOR141C_mRNA	ARP8
YMR033W_mRNA	ARP9
YMR033W_pre-mRNA	ARP9
YPR199C_mRNA	ARR1
YPR200C_mRNA	ARR2
YPR201W_mRNA	ARR3
YLR392C_mRNA	ART10
YGR068C_mRNA	ART5
YLR242C_mRNA	ARV1
YDR101C_mRNA	ARX1
YPR085C_mRNA	ASA1
YMR116C_mRNA	ASC1
YMR116C_pre-mRNA	ASC1
YOR058C_mRNA	ASE1
YJL115W_mRNA	ASF1
YDL197C_mRNA	ASF2
YIL130W_mRNA	ASG1
YJL170C_mRNA	ASG7
YKL185W_mRNA	ASH1
YMR119W_mRNA	ASI1
YNL159C_mRNA	ASI2
YNL008C_mRNA	ASI3
YKL052C_mRNA	ASK1
YGR097W_mRNA	ASK10
YDL088C_mRNA	ASM4
YPR145W_mRNA	ASN1
YGR124W_mRNA	ASN2
YDR321W_mRNA	ASP1
YLR155C_mRNA	ASP3-1
YLR157C_mRNA	ASP3-2
YLR158C_mRNA	ASP3-3
YLR160C_mRNA	ASP3-4
YPR093C_mRNA	ASR1
YBL069W_mRNA	AST1
YER101C_mRNA	AST2
YDR184C_mRNA	ATC1
YGL017W_mRNA	ATE1
YOR377W_mRNA	ATF1
YGR177C_mRNA	ATF2
YGL180W_mRNA	ATG1
YLL042C_mRNA	ATG10
YPR049C_mRNA	ATG11
YBR217W_mRNA	ATG12
YPR185W_mRNA	ATG13
YBR128C_mRNA	ATG14
YCR068W_mRNA	ATG15
YMR159C_mRNA	ATG16
YLR423C_mRNA	ATG17
YFR021W_mRNA	ATG18
YOL082W_mRNA	ATG19
YNL242W_mRNA	ATG2
YDL113C_mRNA	ATG20
YPL100W_mRNA	ATG21
YCL038C_mRNA	ATG22
YLR431C_mRNA	ATG23
YLR189C_mRNA	ATG26
YJL178C_mRNA	ATG27
YPL166W_mRNA	ATG29
YNR007C_mRNA	ATG3
YDR022C_mRNA	ATG31
YIL146C_mRNA	ATG32
YLR356W_mRNA	ATG33
YOL083W_mRNA	ATG34
YJL185C_mRNA	ATG36
YLR211C_mRNA	ATG38
YLR211C_pre-mRNA	ATG38
YNL223W_mRNA	ATG4
YPL149W_mRNA	ATG5
YHR171W_mRNA	ATG7
YBL078C_mRNA	ATG8
YDL149W_mRNA	ATG9
YPR026W_mRNA	ATH1
YMR301C_mRNA	ATM1
YNR002C_mRNA	ATO2
YDR384C_mRNA	ATO3
YBL099W_mRNA	ATP1
YLR393W_mRNA	ATP10
YNL315C_mRNA	ATP11
YJL180C_mRNA	ATP12
YLR295C_mRNA	ATP14
YPL271W_mRNA	ATP15
YDL004W_mRNA	ATP16
YDR377W_mRNA	ATP17
YML081C-A_mRNA	ATP18
YOL077W-A_mRNA	ATP19
YJR121W_mRNA	ATP2
YPR020W_mRNA	ATP20
YDR350C_mRNA	ATP22
YNR020C_mRNA	ATP23
YMR098C_mRNA	ATP25
YBR039W_mRNA	ATP3
YPL078C_mRNA	ATP4
YDR298C_mRNA	ATP5
YKL016C_mRNA	ATP7
YML116W_mRNA	ATR1
YAL020C_mRNA	ATS1
YNL259C_mRNA	ATX1
YOR079C_mRNA	ATX2
YFL010W-A_mRNA	AUA1
YKL004W_mRNA	AUR1
YOR011W_mRNA	AUS1
YLR114C_mRNA	AVL9
YOL078W_mRNA	AVO1
YMR068W_mRNA	AVO2
YJR001W_mRNA	AVT1
YEL064C_mRNA	AVT2
YKL146W_mRNA	AVT3
YNL101W_mRNA	AVT4
YBL089W_mRNA	AVT5
YER119C_mRNA	AVT6
YIL088C_mRNA	AVT7
YPR122W_mRNA	AXL1
YIL140W_mRNA	AXL2
YIL124W_mRNA	AYR1
YLL063C_mRNA	AYT1
YOR113W_mRNA	AZF1
YGR224W_mRNA	AZR1
YOR134W_mRNA	BAG7
YBR068C_mRNA	BAP2
YDR046C_mRNA	BAP3
YIL015W_mRNA	BAR1
YKR099W_mRNA	BAS1
YHR208W_mRNA	BAT1
YJR148W_mRNA	BAT2
YJL020C_mRNA	BBC1
YPL255W_mRNA	BBP1
YHR040W_mRNA	BCD1
YMR237W_mRNA	BCH1
YKR027W_mRNA	BCH2
YJL095W_mRNA	BCK1
YER167W_mRNA	BCK2
YDR361C_mRNA	BCP1
YDR375C_mRNA	BCS1
YIL033C_mRNA	BCY1
YLR399C_mRNA	BDF1
YDL070W_mRNA	BDF2
YAL060W_mRNA	BDH1
YAL061W_mRNA	BDH2
YNL039W_mRNA	BDP1
YOL164W_mRNA	BDS1
YBR200W_mRNA	BEM1
YER155C_mRNA	BEM2
YPL115C_mRNA	BEM3
YPL161C_mRNA	BEM4
YLR412W_mRNA	BER1
YIL004C_mRNA	BET1
YIL004C_pre-mRNA	BET1
YPR176C_mRNA	BET2
YKR068C_mRNA	BET3
YJL031C_mRNA	BET4
YJL031C_pre-mRNA	BET4
YML077W_mRNA	BET5
YJR053W_mRNA	BFA1
YOR198C_mRNA	BFR1
YDR299W_mRNA	BFR2
YGR282C_mRNA	BGL2
YHR101C_mRNA	BIG1
YHR101C_pre-mRNA	BIG1
YCL029C_mRNA	BIK1
YOR304C-A_mRNA	BIL1
YER016W_mRNA	BIM1
YGR286C_mRNA	BIO2
YNR058W_mRNA	BIO3
YNR057C_mRNA	BIO4
YNR056C_mRNA	BIO5
YJR089W_mRNA	BIR1
YBR270C_mRNA	BIT2
YJL058C_mRNA	BIT61
YKL061W_mRNA	BLI1
YFL007W_mRNA	BLM10
YLR408C_mRNA	BLS1
YER177W_mRNA	BMH1
YDR099W_mRNA	BMH2
YDR099W_pre-mRNA	BMH2
YPL217C_mRNA	BMS1
YBR141C_mRNA	BMT2
YIL096C_mRNA	BMT5
YLR063W_mRNA	BMT6
YJR025C_mRNA	BNA1
YJR078W_mRNA	BNA2
YJL060W_mRNA	BNA3
YBL098W_mRNA	BNA4
YLR231C_mRNA	BNA5
YFR047C_mRNA	BNA6
YDR428C_mRNA	BNA7
YNL271C_mRNA	BNI1
YNL233W_mRNA	BNI4
YNL166C_mRNA	BNI5
YIL159W_mRNA	BNR1
YGR230W_mRNA	BNS1
YBL085W_mRNA	BOI1
YER114C_mRNA	BOI2
YLR267W_mRNA	BOP2
YNL042W_mRNA	BOP3
YNL275W_mRNA	BOR1
YLR078C_mRNA	BOS1
YLR078C_pre-mRNA	BOS1
YCR032W_mRNA	BPH1
YDL141W_mRNA	BPL1
YLL015W_mRNA	BPT1
YDL074C_mRNA	BRE1
YLR015W_mRNA	BRE2
YDL231C_mRNA	BRE4
YNR051C_mRNA	BRE5
YGR246C_mRNA	BRF1
YHR036W_mRNA	BRL1
YBL097W_mRNA	BRN1
YPL084W_mRNA	BRO1
YGL007W_mRNA	BRP1
YPR057W_mRNA	BRR1
YER172C_mRNA	BRR2
YGL247W_mRNA	BRR6
YOL077C_mRNA	BRX1
YDL037C_mRNA	BSC1
YDR275W_mRNA	BSC2
YLR465C_mRNA	BSC3
YNL269W_mRNA	BSC4
YNR069C_mRNA	BSC5
YOL137W_mRNA	BSC6
YBR290W_mRNA	BSD2
YPR171W_mRNA	BSP1
YFL025C_mRNA	BST1
YGR142W_mRNA	BTN2
YPL069C_mRNA	BTS1
YDR252W_mRNA	BTT1
YGR188C_mRNA	BUB1
YMR055C_mRNA	BUB2
YOR026W_mRNA	BUB3
YGL174W_mRNA	BUD13
YAR014C_mRNA	BUD14
YEL029C_mRNA	BUD16
YNR027W_mRNA	BUD17
YJL188C_mRNA	BUD19
YKL092C_mRNA	BUD2
YLR074C_mRNA	BUD20
YOR078W_mRNA	BUD21
YMR014W_mRNA	BUD22
YCR047C_mRNA	BUD23
YER014C-A_mRNA	BUD25
YER014C-A_pre-mRNA	BUD25
YDR241W_mRNA	BUD26
YFL023W_mRNA	BUD27
YLR062C_mRNA	BUD28
YCL014W_mRNA	BUD3
YDL151C_mRNA	BUD30
YCR063W_mRNA	BUD31
YGR262C_mRNA	BUD32
YJR092W_mRNA	BUD4
YCR038C_mRNA	BUD5
YLR319C_mRNA	BUD6
YOR299W_mRNA	BUD7
YLR353W_mRNA	BUD8
YGR041W_mRNA	BUD9
YDL099W_mRNA	BUG1
YMR275C_mRNA	BUL1
YML111W_mRNA	BUL2
YLR226W_mRNA	BUR2
YER159C_mRNA	BUR6
YNL305C_mRNA	BXI1
YKL005C_mRNA	BYE1
YHR114W_mRNA	BZZ1
YDR531W_mRNA	CAB1
YIL083C_mRNA	CAB2
YKL088W_mRNA	CAB3
YGR277C_mRNA	CAB4
YDR196C_mRNA	CAB5
YML102W_mRNA	CAC2
YDR423C_mRNA	CAD1
YNL278W_mRNA	CAF120
YGR134W_mRNA	CAF130
YFL028C_mRNA	CAF16
YOR276W_mRNA	CAF20
YKR036C_mRNA	CAF4
YNL288W_mRNA	CAF40
YER048C_mRNA	CAJ1
YFL029C_mRNA	CAK1
YPL048W_mRNA	CAM1
YEL063C_mRNA	CAN1
YKL007W_mRNA	CAP1
YIL034C_mRNA	CAP2
YPL111W_mRNA	CAR1
YLR438W_mRNA	CAR2
YML042W_mRNA	CAT2
YOR125C_mRNA	CAT5
YMR280C_mRNA	CAT8
YGR036C_mRNA	CAX4
YPL178W_mRNA	CBC2
YJR060W_mRNA	CBF1
YGR140W_mRNA	CBF2
YLR175W_mRNA	CBF5
YNL161W_mRNA	CBK1
YJL209W_mRNA	CBP1
YHL038C_mRNA	CBP2
YPL215W_mRNA	CBP3
YGR174C_mRNA	CBP4
YBR120C_mRNA	CBP6
YIL043C_mRNA	CBR1
YDL069C_mRNA	CBS1
YDR197W_mRNA	CBS2
YKL208W_mRNA	CBT1
YER168C_mRNA	CCA1
YLR220W_mRNA	CCC1
YDR270W_mRNA	CCC2
YKL011C_mRNA	CCE1
YGR217W_mRNA	CCH1
YPR025C_mRNA	CCL1
YGR150C_mRNA	CCM1
YKR066C_mRNA	CCP1
YAL021C_mRNA	CCR4
YMR038C_mRNA	CCS1
YIL142W_mRNA	CCT2
YJL014W_mRNA	CCT3
YDL143W_mRNA	CCT4
YJR064W_mRNA	CCT5
YDR188W_mRNA	CCT6
YJL111W_mRNA	CCT7
YJL008C_mRNA	CCT8
YLR110C_mRNA	CCW12
YLR390W-A_mRNA	CCW14
YBR131W_mRNA	CCZ1
YLR307W_mRNA	CDA1
YLR308W_mRNA	CDA2
YDR182W_mRNA	CDC1
YCR002C_mRNA	CDC10
YJR076C_mRNA	CDC11
YHR107C_mRNA	CDC12
YLR215C_mRNA	CDC123
YDL220C_mRNA	CDC13
YFR028C_mRNA	CDC14
YAR019C_mRNA	CDC15
YKL022C_mRNA	CDC16
YAL038W_mRNA	CDC19
YGL116W_mRNA	CDC20
YOR074C_mRNA	CDC21
YHR166C_mRNA	CDC23
YAL041W_mRNA	CDC24
YLR310C_mRNA	CDC25
YFR036W_mRNA	CDC26
YBL084C_mRNA	CDC27
YBR160W_mRNA	CDC28
YLR314C_mRNA	CDC3
YOR257W_mRNA	CDC31
YOL139C_mRNA	CDC33
YDR054C_mRNA	CDC34
YDL165W_mRNA	CDC36
YDR168W_mRNA	CDC37
YCR093W_mRNA	CDC39
YFL009W_mRNA	CDC4
YDR364C_mRNA	CDC40
YLR229C_mRNA	CDC42
YGL155W_mRNA	CDC43
YLR103C_mRNA	CDC45
YDL126C_mRNA	CDC48
YMR001C_mRNA	CDC5
YCR094W_mRNA	CDC50
YDL132W_mRNA	CDC53
YGL190C_mRNA	CDC55
YJL194W_mRNA	CDC6
YPL160W_mRNA	CDC60
YDL017W_mRNA	CDC7
YLR418C_mRNA	CDC73
YJR057W_mRNA	CDC8
YDL164C_mRNA	CDC9
YLR245C_mRNA	CDD1
YGL003C_mRNA	CDH1
YBR029C_mRNA	CDS1
YMR213W_mRNA	CEF1
YGL130W_mRNA	CEG1
YER061C_mRNA	CEM1
YMR168C_mRNA	CEP3
YPL228W_mRNA	CET1
YOR112W_mRNA	CEX1
YIL003W_mRNA	CFD1
YDR301W_mRNA	CFT1
YLR115W_mRNA	CFT2
YML036W_mRNA	CGI121
YML036W_pre-mRNA	CGI121
YGL029W_mRNA	CGR1
YCL064C_mRNA	CHA1
YLR098C_mRNA	CHA4
YGL206C_mRNA	CHC1
YER164W_mRNA	CHD1
YBR274W_mRNA	CHK1
YPL008W_mRNA	CHL1
YDR254W_mRNA	CHL4
YER026C_mRNA	CHO1
YGR157W_mRNA	CHO2
YNL192W_mRNA	CHS1
YBR038W_mRNA	CHS2
YBR023C_mRNA	CHS3
YLR330W_mRNA	CHS5
YJL099W_mRNA	CHS6
YHR142W_mRNA	CHS7
YER030W_mRNA	CHZ1
YDR267C_mRNA	CIA1
YHR122W_mRNA	CIA2
YHR052W_mRNA	CIC1
YMR198W_mRNA	CIK1
YOR349W_mRNA	CIN1
YPL241C_mRNA	CIN2
YPL241C_pre-mRNA	CIN2
YMR138W_mRNA	CIN4
YOR028C_mRNA	CIN5
YEL061C_mRNA	CIN8
YGR207C_mRNA	CIR1
YOR356W_mRNA	CIR2
YJL158C_mRNA	CIS3
YNR001C_mRNA	CIT1
YCR005C_mRNA	CIT2
YPR001W_mRNA	CIT3
YIL035C_mRNA	CKA1
YOR061W_mRNA	CKA2
YGL019W_mRNA	CKB1
YOR039W_mRNA	CKB2
YLR133W_mRNA	CKI1
YBR135W_mRNA	CKS1
YNL298W_mRNA	CLA4
YGR108W_mRNA	CLB1
YPR119W_mRNA	CLB2
YDL155W_mRNA	CLB3
YLR210W_mRNA	CLB4
YPR120C_mRNA	CLB5
YGR109C_mRNA	CLB6
YGR167W_mRNA	CLC1
YGR110W_mRNA	CLD1
YLR117C_mRNA	CLF1
YGL215W_mRNA	CLG1
YMR199W_mRNA	CLN1
YPL256C_mRNA	CLN2
YAL040C_mRNA	CLN3
YOR250C_mRNA	CLP1
YMR012W_mRNA	CLU1
YKL137W_mRNA	CMC1
YBL059C-A_mRNA	CMC2
YBL059C-A_pre-mRNA	CMC2
YMR194C-B_mRNA	CMC4
YMR194C-B_pre-mRNA	CMC4
YBR109C_mRNA	CMD1
YFR014C_mRNA	CMK1
YOL016C_mRNA	CMK2
YML057W_mRNA	CMP2
YDL156W_mRNA	CMR1
YPR013C_mRNA	CMR3
YLR003C_mRNA	CMS1
YLR433C_mRNA	CNA1
YKL190W_mRNA	CNB1
YKL190W_pre-mRNA	CNB1
YAL058W_mRNA	CNE1
YDR357C_mRNA	CNL1
YNL225C_mRNA	CNM67
YFR046C_mRNA	CNN1
YBR155W_mRNA	CNS1
YIL157C_mRNA	COA1
YPL189C-A_mRNA	COA2
YJL062W-A_mRNA	COA3
YLR218C_mRNA	COA4
YMR244C-A_mRNA	COA6
YLL050C_mRNA	COF1
YLL050C_pre-mRNA	COF1
YGL223C_mRNA	COG1
YGR120C_mRNA	COG2
YER157W_mRNA	COG3
YPR105C_mRNA	COG4
YNL051W_mRNA	COG5
YNL041C_mRNA	COG6
YGL005C_mRNA	COG7
YML071C_mRNA	COG8
YER130C_mRNA	COM2
YDL145C_mRNA	COP1
YBR003W_mRNA	COQ1
YOL008W_mRNA	COQ10
YNR041C_mRNA	COQ2
YOL096C_mRNA	COQ3
YDR204W_mRNA	COQ4
YML110C_mRNA	COQ5
YGR255C_mRNA	COQ6
YGL119W_mRNA	COQ8
YLR201C_mRNA	COQ9
YBL045C_mRNA	COR1
YNL336W_mRNA	COS1
YNR075W_mRNA	COS10
YBR203W_mRNA	COS111
YGL263W_mRNA	COS12
YBR302C_mRNA	COS2
YML132W_mRNA	COS3
YFL062W_mRNA	COS4
YJR161C_mRNA	COS5
YGR295C_mRNA	COS6
YDL248W_mRNA	COS7
YHL048W_mRNA	COS8
YKL219W_mRNA	COS9
YOR316C_mRNA	COT1
YPL172C_mRNA	COX10
YPL132W_mRNA	COX11
YLR038C_mRNA	COX12
YGL191W_mRNA	COX13
YML129C_mRNA	COX14
YER141W_mRNA	COX15
YJL003W_mRNA	COX16
YLL009C_mRNA	COX17
YGR062C_mRNA	COX18
YLL018C-A_mRNA	COX19
YDR231C_mRNA	COX20
YHR116W_mRNA	COX23
YDR119W-A_mRNA	COX26
YGL187C_mRNA	COX4
YGL187C_pre-mRNA	COX4
YNL052W_mRNA	COX5A
YIL111W_mRNA	COX5B
YIL111W_pre-mRNA	COX5B
YHR051W_mRNA	COX6
YMR256C_mRNA	COX7
YLR395C_mRNA	COX8
YDL067C_mRNA	COX9
YKL179C_mRNA	COY1
YOR303W_mRNA	CPA1
YJR109C_mRNA	CPA2
YGR247W_mRNA	CPD1
YDR155C_mRNA	CPR1
YHR057C_mRNA	CPR2
YML078W_mRNA	CPR3
YCR069W_mRNA	CPR4
YDR304C_mRNA	CPR5
YLR216C_mRNA	CPR6
YJR032W_mRNA	CPR7
YNR028W_mRNA	CPR8
YJL172W_mRNA	CPS1
YNL130C_mRNA	CPT1
YNL130C_pre-mRNA	CPT1
YOR100C_mRNA	CRC1
YDL142C_mRNA	CRD1
YDR223W_mRNA	CRF1
YHR209W_mRNA	CRG1
YGR189C_mRNA	CRH1
YGR218W_mRNA	CRM1
YLR429W_mRNA	CRN1
YHR146W_mRNA	CRP1
YLR213C_mRNA	CRR1
YOL063C_mRNA	CRT10
YNL027W_mRNA	CRZ1
YLR241W_mRNA	CSC1
YGL238W_mRNA	CSE1
YNR010W_mRNA	CSE2
YKL049C_mRNA	CSE4
YLR087C_mRNA	CSF1
YBR036C_mRNA	CSG2
YBR161W_mRNA	CSH1
YMR025W_mRNA	CSI1
YOL007C_mRNA	CSI2
YNL232W_mRNA	CSL4
YCR086W_mRNA	CSM1
YIL132C_mRNA	CSM2
YMR048W_mRNA	CSM3
YPL200W_mRNA	CSM4
YDR179C_mRNA	CSN9
YLR380W_mRNA	CSR1
YPR030W_mRNA	CSR2
YBR042C_mRNA	CST26
YIL036W_mRNA	CST6
YLR394W_mRNA	CST9
YDR256C_mRNA	CTA1
YMR094W_mRNA	CTF13
YMR078C_mRNA	CTF18
YPL018W_mRNA	CTF19
YLR381W_mRNA	CTF3
YPR135W_mRNA	CTF4
YHR191C_mRNA	CTF8
YDR151C_mRNA	CTH1
YPL181W_mRNA	CTI6
YKL139W_mRNA	CTK1
YJL006C_mRNA	CTK2
YML112W_mRNA	CTK3
YMR180C_mRNA	CTL1
YHR109W_mRNA	CTM1
YBR291C_mRNA	CTP1
YPR124W_mRNA	CTR1
YHR175W_mRNA	CTR2
YLR411W_mRNA	CTR3
YCR054C_mRNA	CTR86
YOL145C_mRNA	CTR9
YLR286C_mRNA	CTS1
YDR371W_mRNA	CTS2
YGR088W_mRNA	CTT1
YMR264W_mRNA	CUE1
YKL090W_mRNA	CUE2
YGL110C_mRNA	CUE3
YML101C_mRNA	CUE4
YOR042W_mRNA	CUE5
YGR003W_mRNA	CUL3
YHR053C_mRNA	CUP1-1
YHR055C_mRNA	CUP1-2
YGL166W_mRNA	CUP2
YPL177C_mRNA	CUP9
YPR158W_mRNA	CUR1
YMR240C_mRNA	CUS1
YNL286W_mRNA	CUS2
YNL155W_mRNA	CUZ1
YDR163W_mRNA	CWC15
YDL209C_mRNA	CWC2
YDR482C_mRNA	CWC21
YGR278W_mRNA	CWC22
YGL128C_mRNA	CWC23
YLR323C_mRNA	CWC24
YNL245C_mRNA	CWC25
YPL064C_mRNA	CWC27
YGL027C_mRNA	CWH41
YCR017C_mRNA	CWH43
YKL096W_mRNA	CWP1
